make,model,year,engine_hp,cylinders,transmission,driven_wheels,num_doors,size,style,mpg_highway,mpg_city,popularity,msrp
bmw,1_series_m,2011,335,6,manual,rear_wheel_drive,2,compact,coupe,26,19,3916,50274.12
bmw,1_series,2011,300,6,manual,rear_wheel_drive,2,compact,convertible,28,19,3916,44297.02
bmw,1_series,2011,300,6,manual,rear_wheel_drive,2,compact,coupe,28,20,3916,39611.24
bmw,1_series,2011,230,6,manual,rear_wheel_drive,2,compact,coupe,28,18,3916,32092.18
bmw,1_series,2011,230,6,manual,rear_wheel_drive,2,compact,convertible,28,18,3916,37595.26
bmw,1_series,2012,230,6,manual,rear_wheel_drive,2,compact,coupe,28,18,3916,33309.86
bmw,1_series,2012,300,6,manual,rear_wheel_drive,2,compact,convertible,26,17,3916,47082.21
bmw,1_series,2012,300,6,manual,rear_wheel_drive,2,compact,coupe,28,20,3916,41957.61
bmw,1_series,2012,230,6,manual,rear_wheel_drive,2,compact,convertible,28,18,3916,39395.32
bmw,1_series,2013,230,6,manual,rear_wheel_drive,2,compact,convertible,27,18,3916,39142.26
bmw,1_series,2013,300,6,manual,rear_wheel_drive,2,compact,coupe,28,20,3916,41667.57
bmw,1_series,2013,230,6,manual,rear_wheel_drive,2,compact,coupe,28,19,3916,33144.66
bmw,1_series,2013,300,6,manual,rear_wheel_drive,2,compact,convertible,28,19,3916,46718.18
bmw,1_series,2013,230,6,manual,rear_wheel_drive,2,compact,convertible,28,19,3916,39142.26
bmw,1_series,2013,230,6,manual,rear_wheel_drive,2,compact,coupe,28,19,3916,33144.66
bmw,1_series,2013,320,6,manual,rear_wheel_drive,2,compact,convertible,25,18,3916,50769.20
bmw,1_series,2013,320,6,manual,rear_wheel_drive,2,compact,coupe,28,20,3916,45823.80
fiat,124_spider,2017,160,4,manual,rear_wheel_drive,2,compact,convertible,35,26,819,27495
fiat,124_spider,2017,160,4,manual,rear_wheel_drive,2,compact,convertible,35,26,819,24995
fiat,124_spider,2017,160,4,manual,rear_wheel_drive,2,compact,convertible,35,26,819,28195
bmw,2_series,2016,240,4,automatic,rear_wheel_drive,2,compact,coupe,35,23,3916,33549.82
bmw,2_series,2016,240,4,automatic,rear_wheel_drive,2,compact,convertible,34,23,3916,39473.38
bmw,2_series,2016,320,6,automatic,rear_wheel_drive,2,compact,convertible,31,20,3916,49788.55
bmw,2_series,2016,240,4,automatic,all_wheel_drive,2,compact,coupe,35,23,3916,35592.43
bmw,2_series,2016,240,4,automatic,all_wheel_drive,2,compact,convertible,34,22,3916,41515.99
bmw,2_series,2016,320,6,automatic,rear_wheel_drive,2,compact,coupe,31,20,3916,45090.55
